date,AABA,AAPL,ADBE,ADP,AMGN,AMOV,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,CELG,CHTR,CMCSA,CME,COST,CSCO,CSX,CTSH,ESRX,FB,FOX,FOXA,GILD,GOOG,GOOGL,ILMN,INTC,INTU,ISRG,KHC,MAR,MDLZ,MSFT,MU,NFLX,NVDA,PEP,PYPL,QCOM,QQQ,REGN,SBUX,TMUS,TSLA,TXN,VRTX,WBA,WDAY
2017-05-01,0,18,0,0,0,0,15,0,0,0,0,0,0,0,8,3,0,19,0,0,1,18,31,31,1,11,11,0,15,0,0,2,11,0,10,3,6,0,0,1,0,0,0,0,2,4,1,0,0,0
2017-05-02,0,41,0,5,3,0,17,0,1,2,0,0,0,1,3,4,0,27,0,0,0,17,11,11,3,10,10,1,29,2,0,2,34,5,8,14,5,0,1,0,7,2,0,0,4,6,0,0,3,0
2017-05-03,0,55,0,17,0,0,5,0,0,0,0,0,0,0,8,12,3,48,0,0,0,38,5,5,3,29,29,0,33,0,0,11,25,1,12,14,4,0,5,0,1,0,0,1,3,14,0,0,0,0
2017-05-04,0,23,0,1,0,1,18,4,1,0,0,0,0,5,0,9,2,27,0,0,0,34,9,9,3,25,25,0,32,0,0,5,34,0,6,13,5,2,1,0,3,1,12,2,0,21,2,0,0,0
2017-05-05,0,13,0,2,0,2,8,2,1,1,0,0,1,0,0,7,0,28,1,4,0,21,5,5,0,4,4,1,20,1,0,3,36,0,0,11,4,0,1,0,1,0,0,3,0,2,0,0,0,0
2017-05-06,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,23,0,0,0,11,4,4,0,5,5,0,9,0,0,5,0,0,5,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0
2017-05-07,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,17,0,0,0,6,8,7,0,3,3,0,5,0,0,2,3,0,2,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2017-05-08,0,14,0,0,1,0,9,2,1,0,0,0,0,12,19,4,3,26,0,0,1,26,11,11,0,13,13,0,21,2,0,3,46,1,4,17,6,0,1,0,1,1,3,0,5,2,0,0,1,0
2017-05-09,0,15,0,0,1,0,21,3,4,0,0,0,0,0,0,0,4,19,2,0,1,22,8,8,0,14,14,1,38,3,0,2,55,0,6,16,0,5,0,1,1,1,3,0,0,3,0,0,0,0
2017-05-10,0,19,0,1,0,0,25,0,0,0,0,0,0,1,1,7,2,30,1,0,0,104,17,17,0,17,17,1,47,0,0,4,62,2,5,24,5,12,0,0,0,0,0,0,3,10,0,0,0,0
2017-05-11,1,9,0,0,0,0,10,3,0,0,0,0,0,0,0,4,4,40,0,0,0,43,6,6,2,5,5,0,65,0,0,1,61,0,4,23,7,0,4,0,0,0,0,0,5,4,0,0,0,0
2017-05-12,0,6,0,0,3,3,11,0,4,0,0,0,0,0,1,14,4,38,0,0,0,64,2,2,1,17,17,0,43,0,0,1,56,0,15,24,0,3,1,0,5,2,0,0,7,1,0,0,0,0
